Party (partija),Candidate (kandidatas),Post Election No (numeris prieš rinkimus),Pre Election No (numeris po rinkimų)
Darbo partija,Vytautas KILČIAUSKAS,124,105
Darbo partija,Gintautas PETRAVIČIUS,125,90
Darbo partija,Galina KUZMIENĖ,126,120
Darbo partija,Jolanta SOLNYŠKINIENĖ,127,62
Darbo partija,Vitas JAŠKAUSKAS,128,87
Darbo partija,Vaidas RATKEVIČIUS,129,108
Darbo partija,Virginijus Andrius BUKAUSKAS,130,99
Darbo partija,Voitechas VINSKEVIČIUS,131,102
Darbo partija,Tomas STASKEVIČIUS,132,93
Darbo partija,Laimutė KAČERAUSKIENĖ,133,113
Darbo partija,Valerijus LEGATAS,134,128
Darbo partija,Mykolas ZALUNSKIS,135,137
Darbo partija,Kastytis MASALSKAS,136,126
Darbo partija,Rimas BERTAŠIUS,137,112
Darbo partija,Audrė PREIKŠAITIENĖ,138,114
Darbo partija,Dženeta TOLIŠAUSKIENĖ,139,91
Darbo partija,Manfredas ŽYMANTAS,140,107
Darbo partija,Vytautas SEKONAS,141,117
Demokratinė darbo ir vienybės partija,Kristina BRAZAUSKIENĖ,1,1
Demokratinė darbo ir vienybės partija,Vilma KVIETKAUSKIENĖ,2,2
Demokratinė darbo ir vienybės partija,Giedrius PAVILIONIS,3,4
Demokratinė darbo ir vienybės partija,Jonas REKEŠIUS,4,3
Demokratinė darbo ir vienybės partija,Aivaras GEČAS,5,5
Demokratinė darbo ir vienybės partija,Birutė JANKAUSKIENĖ,6,11
Demokratinė darbo ir vienybės partija,Aušrinė MAIŽIEŠIENĖ,7,8
Demokratinė darbo ir vienybės partija,Arkadijus KISELIOVAS,8,7
Demokratinė darbo ir vienybės partija,Rimantas JUREVIČIUS,9,9
Demokratinė darbo ir vienybės partija,Dalia RAMOŠKAITĖ,10,15
Demokratinė darbo ir vienybės partija,Gintaras SABECKIS,11,10
Demokratinė darbo ir vienybės partija,Daiva AUGUSTINIENĖ,12,14
Demokratinė darbo ir vienybės partija,Ingrida VAICIKEVIČIENĖ,13,37
Demokratinė darbo ir vienybės partija,Gintautas DAČIOLA,14,12
Demokratinė darbo ir vienybės partija,Renata MACIENĖ,15,34
Demokratinė darbo ir vienybės partija,Renata MICKŪNAITĖ,16,16
Demokratinė darbo ir vienybės partija,Tadeuš POLITO,17,17
Demokratinė darbo ir vienybės partija,Darius KRUKONIS,18,18
Demokratinė darbo ir vienybės partija,Giedrė GEČAITĖ,19,19
Demokratinė darbo ir vienybės partija,Virginijus SUNGAILA,20,20
Demokratinė darbo ir vienybės partija,Aistė BAUTRĖNAITĖ,21,21
Demokratinė darbo ir vienybės partija,Virginija STANIONIENĖ,22,22
Demokratinė darbo ir vienybės partija,Edas MATULIS,23,23
Demokratinė darbo ir vienybės partija,Kęstutis MAČĖNAS,24,24
Demokratinė darbo ir vienybės partija,Jolita ALEKSEJŪNIENĖ,25,25
Demokratinė darbo ir vienybės partija,Rasa KISELIOVA,26,26
Demokratinė darbo ir vienybės partija,Algirdas ČEPONIS,27,27
Demokratinė darbo ir vienybės partija,Mindaugas ZDANEVIČIUS,28,28
