Party (partija),Candidate (kandidatas),Post Election No (numeris prieš rinkimus),Pre Election No (numeris po rinkimų)
Liberalų ir centro sąjunga,Andrius BURBA,15,13
Liberalų ir centro sąjunga,Donatas STONYS,16,12
Liberalų ir centro sąjunga,Saulius LAPĖNAS,17,18
Liberalų ir centro sąjunga,Kęstutis VAITUKAITIS,18,15
Liberalų ir centro sąjunga,Kęstutis BILIUS,19,21
Liberalų ir centro sąjunga,Apolinaras NICIUS,20,24
Liberalų ir centro sąjunga,Rimantas REMEIKA,21,20
Liberalų ir centro sąjunga,Rimantas KLIPČIUS,22,42
Liberalų ir centro sąjunga,Nijolė MAKŠTUTIENĖ,23,29
Liberalų ir centro sąjunga,Vincas BABILIUS,24,17
Liberalų ir centro sąjunga,Vytautas LAURINAITIS,25,40
Liberalų ir centro sąjunga,Irena RIČKUVIENĖ,26,123
Liberalų ir centro sąjunga,Vytautas TARAILĖ,27,28
Liberalų ir centro sąjunga,Kęstutis TRAPIKAS,28,32
Liberalų ir centro sąjunga,Jurgita GINTAUTAITĖ,29,30
Liberalų ir centro sąjunga,Nora RIBOKIENĖ,30,31
Liberalų ir centro sąjunga,Jonas JUČAS,31,22
Liberalų ir centro sąjunga,Arūnė STIRBLYTĖ,32,27
Liberalų ir centro sąjunga,Klemensas RIMŠELIS,33,25
Liberalų ir centro sąjunga,Saulius GRINKEVIČIUS,34,19
Liberalų ir centro sąjunga,Kęstutis SMIRNOVAS,35,26
Liberalų ir centro sąjunga,Vidas BIČKUS,36,37
Liberalų ir centro sąjunga,Jūratė GRICIŪTĖ,37,44
Liberalų ir centro sąjunga,Edita STUNDŽIAITĖ,38,50
Liberalų ir centro sąjunga,Jonas KIETAVIČIUS,39,61
Liberalų ir centro sąjunga,Vidmantas PLEČKAITIS,40,43
Liberalų ir centro sąjunga,Saulius BUDINAS,41,47
Liberalų ir centro sąjunga,Danutė IVANAUSKIENĖ,42,87
Liberalų ir centro sąjunga,Ričardas JUŠKA,43,64
Liberalų ir centro sąjunga,Vincas LAURUTIS,44,33
Liberalų ir centro sąjunga,Mindaugas ŠIVICKAS,45,35
Liberalų ir centro sąjunga,Rita JUOZAPAITIENĖ,46,88
Liberalų ir centro sąjunga,Valdas Petras MIKELIONIS,47,49
Liberalų ir centro sąjunga,Linas JANUŠONIS,48,57
Liberalų ir centro sąjunga,Kęstutis PAKALNIS,49,41
Liberalų ir centro sąjunga,Algis MARCINKEVIČIUS,50,75
Liberalų ir centro sąjunga,Rimantas DABULIS,51,120
Liberalų ir centro sąjunga,Arūnas MARKŪNAS,52,93
Liberalų ir centro sąjunga,Gintaras GIRŠTAUTAS,53,100
Liberalų ir centro sąjunga,Robertas STANIONIS,54,46
Liberalų ir centro sąjunga,Kęstutis NAVICKAS,55,60
Liberalų ir centro sąjunga,Mantas PANAVAS,56,39
Liberalų ir centro sąjunga,Antanas ČERNECKIS,57,65
Liberalų ir centro sąjunga,Robertas PIEČIA,58,63
Liberalų ir centro sąjunga,Saulius LIEKIS,59,101
Liberalų ir centro sąjunga,Gediminas JEGELEVIČIUS,60,76
Liberalų ir centro sąjunga,Vidas RYBELIS,61,80
Liberalų ir centro sąjunga,Jurijus PETROVAS,62,51
Liberalų ir centro sąjunga,Pranas PAŠKEVIČIUS,63,36
Liberalų ir centro sąjunga,Audrius ILGEVIČIUS,64,97
Liberalų ir centro sąjunga,Arūnas STAŠAITIS,65,56
Liberalų ir centro sąjunga,Artūras TEPELYS,66,59
Liberalų ir centro sąjunga,Gintautas REKERTA,67,45
Liberalų ir centro sąjunga,Regimantas BARAVYKAS,68,68
Liberalų ir centro sąjunga,Voldemaras BANDŽIUKAS,69,38
Liberalų ir centro sąjunga,Mindaugas LADIGA,70,52
Liberalų ir centro sąjunga,Iveta SKURVYDIENĖ,71,109
Liberalų ir centro sąjunga,Vincas KAPOČIUS,72,66
Liberalų ir centro sąjunga,Sigitas ŠIUPŠINSKAS,73,53
Liberalų ir centro sąjunga,Vilma ČIVILIENĖ,74,102
Liberalų ir centro sąjunga,Aivaras VASYLIUS,75,78
Liberalų ir centro sąjunga,Vytautas ŠIMKUS,76,79
Liberalų ir centro sąjunga,Eglė MANKEVIČIENĖ,77,84
Liberalų ir centro sąjunga,Vaida KATINAITĖ,78,89
Liberalų ir centro sąjunga,Rimantas RADŽIUS,79,73
Liberalų ir centro sąjunga,Saulius SIMĖ,80,67
Liberalų ir centro sąjunga,Antanas SIMONČIKAS,81,122
Liberalų ir centro sąjunga,Sigitas ARBAČIAUSKAS,82,106
Liberalų ir centro sąjunga,Alvydas BANEVIČIUS,83,58
Liberalų ir centro sąjunga,Daiva VALIAUGIENĖ,84,105
Liberalų ir centro sąjunga,Laurynas GARMUS,85,119
Liberalų ir centro sąjunga,Arvydas ŽILINSKAS,86,95
Liberalų ir centro sąjunga,Tomas KARUŽAS,87,34
Liberalų ir centro sąjunga,Jonas Edvardas JUODIS,88,118
Liberalų ir centro sąjunga,Deividas STAPONKUS,89,55
Liberalų ir centro sąjunga,Regina LOPIENĖ,90,90
Liberalų ir centro sąjunga,Rolandas CIJUNČIKAS,91,114
Liberalų ir centro sąjunga,Deivydas RUBEŽIUS,92,48
Liberalų ir centro sąjunga,Martynas MARCINKEVIČIUS,93,92
Liberalų ir centro sąjunga,Gintaras Steponas VYŠNIAUSKAS,94,54
Liberalų ir centro sąjunga,Irena SIMUTIENĖ,95,83
Liberalų ir centro sąjunga,Dovilė NIKIFOROVA,96,121
Liberalų ir centro sąjunga,Adolfina BLAUZDŽIŪNIENĖ,97,62
Liberalų ir centro sąjunga,Laimonas PAURA,98,72
Liberalų ir centro sąjunga,Aušrydas TAMULIONIS,99,110
Liberalų ir centro sąjunga,Kęstutis VILNIŠKIS,100,85
Liberalų ir centro sąjunga,Valdas MARČIULIONIS,101,104
Liberalų ir centro sąjunga,Rimvydas TAMULAITIS,102,77
Liberalų ir centro sąjunga,Vygantas GROSS,103,82
Liberalų ir centro sąjunga,Andrius BŪDA,104,107
Liberalų ir centro sąjunga,Romas MEDZVECKAS,105,70
Liberalų ir centro sąjunga,Romualdas KISELIŪNAS,106,74
Liberalų ir centro sąjunga,Žydrūnas GRENCEVIČIUS,107,103
Liberalų ir centro sąjunga,Vygintas AUKŠTUOLIS,108,113
Liberalų ir centro sąjunga,Vaclovas SAMUOLIS,109,94
Liberalų ir centro sąjunga,Gražvydas GULBINSKAS,110,86
Liberalų ir centro sąjunga,Irena IGNATAVIČIENĖ,111,108
Liberalų ir centro sąjunga,Vytautas KANEVIČIUS,112,69
Liberalų ir centro sąjunga,Valerijus KUZNECOVAS,113,71
Liberalų ir centro sąjunga,Vitas KARČIAUSKAS,114,91
Liberalų ir centro sąjunga,Algirdas KIZNIS,115,81
Liberalų ir centro sąjunga,Alvydas GERVINSKAS,116,96
Liberalų ir centro sąjunga,Robertas MIKALAUSKIS,117,98
Liberalų ir centro sąjunga,Valdemaras PUODŽIŪNAS,118,99
Liberalų ir centro sąjunga,Andrej AVDONIN,119,112
Liberalų ir centro sąjunga,Linas KRAPAVICKAS,120,115
Liberalų ir centro sąjunga,Virginijus SIVOLOVAS,121,116
Liberalų ir centro sąjunga,Larisa TITOVA,122,117
Lietuvos lenkų rinkimų akcija,Valdemar TOMAŠEVSKI,1,1
Lietuvos lenkų rinkimų akcija,Vanda KRAVČIONOK,2,5
Lietuvos lenkų rinkimų akcija,Juzef KVETKOVSKIJ,3,7
Lietuvos lenkų rinkimų akcija,Michal MACKEVIČ,4,3
Lietuvos lenkų rinkimų akcija,Zdzislav PALEVIČ,5,13
Lietuvos lenkų rinkimų akcija,Zbignev JEDINSKIJ,6,6
Lietuvos lenkų rinkimų akcija,Irina ROZOVA,7,2
Lietuvos lenkų rinkimų akcija,Andžej ANDRUŠKEVIČ,8,19
Lietuvos lenkų rinkimų akcija,Jaroslav KAMINSKI,9,15
Lietuvos lenkų rinkimų akcija,Romualda POŠEVECKAJA,10,10
Lietuvos lenkų rinkimų akcija,Vaidotas PRUNSKUS,11,4
Lietuvos lenkų rinkimų akcija,Renata CYTACKA,12,45
Lietuvos lenkų rinkimų akcija,Marija PUČ,13,9
Lietuvos lenkų rinkimų akcija,Gžegož SAKSON,14,47
Lietuvos lenkų rinkimų akcija,Zbigniev MACIEJEVSKI,15,18
Lietuvos lenkų rinkimų akcija,Marija MATUSEVIČ,16,8
Lietuvos lenkų rinkimų akcija,Tamara LOCHANKINA,17,12
Lietuvos lenkų rinkimų akcija,Artur LIUDKOVSKI,18,30
Lietuvos lenkų rinkimų akcija,Tadeuš ANDŽEJEVSKI,19,59
Lietuvos lenkų rinkimų akcija,Jadvyga SINKEVIČ,20,22
Lietuvos lenkų rinkimų akcija,Vladimir VLASOV,21,17
Lietuvos lenkų rinkimų akcija,Teresa SOLOVJOVA,22,20
Lietuvos lenkų rinkimų akcija,Rimantas KUMPIS,23,11
Lietuvos lenkų rinkimų akcija,German KOMAROVSKIJ,24,49
Lietuvos lenkų rinkimų akcija,Ježy OBLOČINSKI,25,54
Lietuvos lenkų rinkimų akcija,Stanislav KAZARIN,26,74
Lietuvos lenkų rinkimų akcija,Albert NARVOIŠ,27,46
Lietuvos lenkų rinkimų akcija,Tadeuš BUIKO,28,41
Lietuvos lenkų rinkimų akcija,Viačeslav KARMANOV,29,14
Lietuvos lenkų rinkimų akcija,Rasa TAMOŠIŪNIENĖ,30,25
Lietuvos lenkų rinkimų akcija,Artur SEMAŠKO,31,95
Lietuvos lenkų rinkimų akcija,Sofija MATAREVIČ,32,58
Lietuvos lenkų rinkimų akcija,Aleksandr MICHAILOV,33,21
Lietuvos lenkų rinkimų akcija,Edmund ŠOT,34,141
Lietuvos lenkų rinkimų akcija,Tadeuš TUČKOVSKI,35,39
Lietuvos lenkų rinkimų akcija,Veslav STARIKOVIČ,36,53
Lietuvos lenkų rinkimų akcija,Tadeuš LAVRYNOVIČ,37,36
Lietuvos lenkų rinkimų akcija,Ivona ČERNIAVSKA,38,29
Lietuvos lenkų rinkimų akcija,Viktor LOVČIK,39,26
Lietuvos lenkų rinkimų akcija,Žaneta JANKOVSKA,40,44
Lietuvos lenkų rinkimų akcija,Valdemar ŠELKOVSKI,41,76
Lietuvos lenkų rinkimų akcija,Tadeuš ALIANCEVIČ,42,56
Lietuvos lenkų rinkimų akcija,Sergej BONDAR,43,33
Lietuvos lenkų rinkimų akcija,Oleg DAVIDIUK,44,24
Lietuvos lenkų rinkimų akcija,Kristina ZIMINSKA,45,34
Lietuvos lenkų rinkimų akcija,Jan TOMAŠEVIČ,46,77
Lietuvos lenkų rinkimų akcija,Rita RENKAUSKIENĖ,47,16
Lietuvos lenkų rinkimų akcija,Antoni Edvard JANKOVSKI,48,75
Lietuvos lenkų rinkimų akcija,Valdemar RYBAK,49,106
Lietuvos lenkų rinkimų akcija,Tadeušas PAVLOVSKIS,50,48
Lietuvos lenkų rinkimų akcija,Olia LUKAŠEVIČ,51,65
Lietuvos lenkų rinkimų akcija,Henrich KASPEROVIČ,52,57
Lietuvos lenkų rinkimų akcija,Vaclav VILKOIT,53,37
Lietuvos lenkų rinkimų akcija,Valdemar DOVEIKO,54,119
Lietuvos lenkų rinkimų akcija,Ana JESVILIENĖ,55,80
Lietuvos lenkų rinkimų akcija,Marija KLIMAŠEVSKA,56,38
Lietuvos lenkų rinkimų akcija,Marijan BUINICKAS,57,40
Lietuvos lenkų rinkimų akcija,Gražina SANKOVSKA BERSEKERSKA,58,136
Lietuvos lenkų rinkimų akcija,Tatjana KONONOVA,59,35
Lietuvos lenkų rinkimų akcija,Alina KOVALEVSKAJA,60,82
Lietuvos lenkų rinkimų akcija,Francišek ŽEROMSKIJ,61,66
Lietuvos lenkų rinkimų akcija,Ana INGELEVIČ,62,81
Lietuvos lenkų rinkimų akcija,Renata SOBIESKA,63,89
Lietuvos lenkų rinkimų akcija,Dmitrij GNEUŠEV,64,28
Lietuvos lenkų rinkimų akcija,Vladislav JEDINSKIJ,65,51
Lietuvos lenkų rinkimų akcija,Zinaida MUCHARSKAJA,66,31
Lietuvos lenkų rinkimų akcija,Alina RIZGELIENĖ,67,109
Lietuvos lenkų rinkimų akcija,Tadeuš JARMOLOVIČ,68,116
Lietuvos lenkų rinkimų akcija,Valerijan JUSIONIS,69,104
Lietuvos lenkų rinkimų akcija,Vadim BARANOVSKIJ,70,52
Lietuvos lenkų rinkimų akcija,Laimutė BURBIENĖ,71,27
Lietuvos lenkų rinkimų akcija,Valdemar URBAN,72,98
Lietuvos lenkų rinkimų akcija,Alma BAGDONAVIČIENĖ,73,23
Lietuvos lenkų rinkimų akcija,Andrius ŠARĖJUS,74,105
Lietuvos lenkų rinkimų akcija,Edvard VORŠINSKI,75,96
Lietuvos lenkų rinkimų akcija,Aleksandr FIODOROV,76,62
Lietuvos lenkų rinkimų akcija,Tamara ŠUKLINA,77,64
Lietuvos lenkų rinkimų akcija,Beata PAŠKOVSKA,78,99
Lietuvos lenkų rinkimų akcija,Valerijus JAGLINSKI,79,86
Lietuvos lenkų rinkimų akcija,Tatjana SINKEVIČ,80,139
Lietuvos lenkų rinkimų akcija,Jaroslav URBANOVIČ,81,85
Lietuvos lenkų rinkimų akcija,Edita ŠIŠKO,82,92
Lietuvos lenkų rinkimų akcija,Regina ABLOM,83,114
Lietuvos lenkų rinkimų akcija,Romuald ŠTURA,84,112
Lietuvos lenkų rinkimų akcija,Česlav MASEL,85,100
Lietuvos lenkų rinkimų akcija,Miroslav BOGDANOVIČ,86,128
Lietuvos lenkų rinkimų akcija,Henrich PEŠKO,87,79
Lietuvos lenkų rinkimų akcija,Teresa ANDRUŠKEVIČ,88,91
Lietuvos lenkų rinkimų akcija,Edyta RUD,89,88
Lietuvos lenkų rinkimų akcija,Regina TAMOŠIŪNIENĖ,90,134
Lietuvos lenkų rinkimų akcija,Irena BARANOVSKAJA,91,103
Lietuvos lenkų rinkimų akcija,Viktor MARCINKEVIČ,92,111
Lietuvos lenkų rinkimų akcija,Alicija PESLIAK,93,84
Lietuvos lenkų rinkimų akcija,Tatjana LAPICKAJA,94,60
Lietuvos lenkų rinkimų akcija,Marina KUZNECOVA,95,71
Lietuvos lenkų rinkimų akcija,Ivona ROMANOVSKA,96,135
Lietuvos lenkų rinkimų akcija,Bogoslava JUREVIČ,97,126
Lietuvos lenkų rinkimų akcija,Julija PLIUTIENĖ,98,50
Lietuvos lenkų rinkimų akcija,Kristina GRODZ,99,72
Lietuvos lenkų rinkimų akcija,Natalija DOMNENKO,100,73
Lietuvos lenkų rinkimų akcija,Danuta KULIEŠIENĖ,101,78
Lietuvos lenkų rinkimų akcija,Anželika ZENOVIČ,102,94
Lietuvos lenkų rinkimų akcija,Olga JURKEVIČIENĖ,103,123
Lietuvos lenkų rinkimų akcija,Algis MORTŪNAS,104,140
Lietuvos lenkų rinkimų akcija,Roman KRYLIUK,105,42
Lietuvos lenkų rinkimų akcija,Aleksandra KOVALEVSKA,106,108
Lietuvos lenkų rinkimų akcija,Julija CHARITONOVA,107,138
Lietuvos lenkų rinkimų akcija,Galina ZACIŠKO,108,133
Lietuvos lenkų rinkimų akcija,Valdas PUGAČIAUSKAS,109,43
Lietuvos lenkų rinkimų akcija,Gražina BASLYK,110,124
Lietuvos lenkų rinkimų akcija,Irina LISOVSKAJA,111,115
Lietuvos lenkų rinkimų akcija,Kristina MIKOLAJŪNIENĖ,112,70
Lietuvos lenkų rinkimų akcija,Danuta ŠPILEVSKAJA,113,101
Lietuvos lenkų rinkimų akcija,Audrius ONAITIS,114,32
Lietuvos lenkų rinkimų akcija,Andrejus BRIAUNYS,115,55
Lietuvos lenkų rinkimų akcija,Andžejus PUPINIS,116,67
Lietuvos lenkų rinkimų akcija,Andžej DYNDA,117,131
Lietuvos lenkų rinkimų akcija,Tamara KALIUŽNAJA,118,87
Lietuvos lenkų rinkimų akcija,Vladislava KURSEVIČIENĖ,119,63
Lietuvos lenkų rinkimų akcija,Ričardas JANKAUSKAS,120,61
Lietuvos lenkų rinkimų akcija,Jurgita NAUSĖDIENĖ,121,68
Lietuvos lenkų rinkimų akcija,Marija ZECHAR,122,69
Lietuvos lenkų rinkimų akcija,Sergej ŠABODALOV,123,83
Lietuvos lenkų rinkimų akcija,Povilas ŠUMINAS,124,90
Lietuvos lenkų rinkimų akcija,Margarita SLAUTO,125,93
Lietuvos lenkų rinkimų akcija,Julita MEŠKUTAVIČIŪTĖ,126,97
Lietuvos lenkų rinkimų akcija,Michail ČAIKOVSKIJ,127,102
Lietuvos lenkų rinkimų akcija,Dalia PUGAČIAUSKIENĖ,128,107
Lietuvos lenkų rinkimų akcija,Vytautas MAKNEVIČIUS,129,110
Lietuvos lenkų rinkimų akcija,Janas Stanislavas LEŠČINSKIS,130,113
Lietuvos lenkų rinkimų akcija,Honorata ČAIKAUSKIENĖ,131,117
Lietuvos lenkų rinkimų akcija,Zofija PILYPIENĖ,132,118
Lietuvos lenkų rinkimų akcija,Viktorija DAILYDIENĖ,133,120
Lietuvos lenkų rinkimų akcija,Leonija PETRAUSKAITĖ,134,121
Lietuvos lenkų rinkimų akcija,Božena KLIMENIUK,135,122
Lietuvos lenkų rinkimų akcija,Darius ŽUKOVSKI,136,125
Lietuvos lenkų rinkimų akcija,Albinas DIMSKAS,137,127
Lietuvos lenkų rinkimų akcija,Regina ŠIMULEVIČ,138,129
Lietuvos lenkų rinkimų akcija,Honorata ŠAPELIENĖ,139,130
Lietuvos lenkų rinkimų akcija,Valerija ŠIMIANEC,140,132
Lietuvos lenkų rinkimų akcija,Violeta DUDUTIENĖ,141,137
Lietuvos Respublikos liberalų sąjūdis,Eligijus MASIULIS,1,1
Lietuvos Respublikos liberalų sąjūdis,Remigijus ŠIMAŠIUS,2,5
Lietuvos Respublikos liberalų sąjūdis,Eugenijus GENTVILAS,3,6
Lietuvos Respublikos liberalų sąjūdis,Gintaras STEPONAVIČIUS,4,3
Lietuvos Respublikos liberalų sąjūdis,Petras AUŠTREVIČIUS,5,7
Lietuvos Respublikos liberalų sąjūdis,Kęstutis GLAVECKAS,6,11
Lietuvos Respublikos liberalų sąjūdis,Algis KAŠĖTA,7,2
Lietuvos Respublikos liberalų sąjūdis,Dalia KUODYTĖ,8,4
Lietuvos Respublikos liberalų sąjūdis,Dalia TEIŠERSKYTĖ,9,19
Lietuvos Respublikos liberalų sąjūdis,Arminas LYDEKA,10,26
Lietuvos Respublikos liberalų sąjūdis,Vitalijus GAILIUS,11,10
Lietuvos Respublikos liberalų sąjūdis,Viktorija ČMILYTĖ,12,9
Lietuvos Respublikos liberalų sąjūdis,Rimantas MIKAITIS,13,8
Lietuvos Respublikos liberalų sąjūdis,Erikas TAMAŠAUSKAS,14,12
Lietuvos Respublikos liberalų sąjūdis,Artūras ŠULCAS,15,16
Lietuvos Respublikos liberalų sąjūdis,Ona BALŽEKIENĖ,16,14
Lietuvos Respublikos liberalų sąjūdis,Kęstutis TUBIS,17,17
Lietuvos Respublikos liberalų sąjūdis,Mindaugas LAPINSKAS,18,15
Lietuvos Respublikos liberalų sąjūdis,Arūnas ŠTARAS,19,13
Lietuvos Respublikos liberalų sąjūdis,Linas KVEDARAVIČIUS,20,22
Lietuvos Respublikos liberalų sąjūdis,Simonas GENTVILAS,21,37
Lietuvos Respublikos liberalų sąjūdis,Šarūnas GUSTAINIS,22,24
Lietuvos Respublikos liberalų sąjūdis,Jurgita CHOROMANSKYTĖ,23,25
Lietuvos Respublikos liberalų sąjūdis,Skirmantas TUMELIS,24,102
Lietuvos Respublikos liberalų sąjūdis,Gintaras ŠILEIKIS,25,23
Lietuvos Respublikos liberalų sąjūdis,Alina VELYKIENĖ,26,21
Lietuvos Respublikos liberalų sąjūdis,Marijus KAUKĖNAS,27,20
Lietuvos Respublikos liberalų sąjūdis,Simonas KAIRYS,28,32
Lietuvos Respublikos liberalų sąjūdis,Stasys VAINORAS,29,18
Lietuvos Respublikos liberalų sąjūdis,Benjaminas MAŠALAITIS,30,42
Lietuvos Respublikos liberalų sąjūdis,Dalius DIRSĖ,31,38
Lietuvos Respublikos liberalų sąjūdis,Diana STANKAITIENĖ,32,39
Lietuvos Respublikos liberalų sąjūdis,Vaidas BACYS,33,43
Lietuvos Respublikos liberalų sąjūdis,Tomas BARANOVAS,34,27
Lietuvos Respublikos liberalų sąjūdis,Remigijus OSAUSKAS,35,40
Lietuvos Respublikos liberalų sąjūdis,Marytė GUDONYTĖ,36,36
Lietuvos Respublikos liberalų sąjūdis,Raimundas POVILONIS,37,31
Lietuvos Respublikos liberalų sąjūdis,Audrius ENDZINAS,38,141
Lietuvos Respublikos liberalų sąjūdis,Laimontas DINIUS,39,45
Lietuvos Respublikos liberalų sąjūdis,Kęstutis SLAVINSKAS,40,33
Lietuvos Respublikos liberalų sąjūdis,Algirdas RADUŠYS,41,29
Lietuvos Respublikos liberalų sąjūdis,Gintautas KRILAVIČIUS,42,30
Lietuvos Respublikos liberalų sąjūdis,Gediminas ČEPULIS,43,140
Lietuvos Respublikos liberalų sąjūdis,Vytautas MASIULIS,44,61
Lietuvos Respublikos liberalų sąjūdis,Gintautas STANKEVIČIUS,45,34
Lietuvos Respublikos liberalų sąjūdis,Marcijonas URMONAS,46,28
Lietuvos Respublikos liberalų sąjūdis,Audrius VAIŠVILA,47,139
Lietuvos Respublikos liberalų sąjūdis,Almantas SKRUIBYS,48,65
Lietuvos Respublikos liberalų sąjūdis,Ilona GRIGARAVIČIENĖ,49,46
Lietuvos Respublikos liberalų sąjūdis,Dainius ŽILIUS,50,86
Lietuvos Respublikos liberalų sąjūdis,Algirdas ARYS,51,41
Lietuvos Respublikos liberalų sąjūdis,Albertas LAKŠTAUSKAS,52,35
Lietuvos Respublikos liberalų sąjūdis,Algis MAČIULIS,53,116
Lietuvos Respublikos liberalų sąjūdis,Vidmantas MARTIKONIS,54,79
Lietuvos Respublikos liberalų sąjūdis,Linas STANKUS,55,55
Lietuvos Respublikos liberalų sąjūdis,Sigitas ŠLIAŽAS,56,114
Lietuvos Respublikos liberalų sąjūdis,Linas KAUKĖNAS,57,48
Lietuvos Respublikos liberalų sąjūdis,Justinas KRĖPŠTA,58,63
Lietuvos Respublikos liberalų sąjūdis,Adelė MAJAUSKIENĖ,59,100
Lietuvos Respublikos liberalų sąjūdis,Petras RAČKAUSKAS,60,69
Lietuvos Respublikos liberalų sąjūdis,Audronė BALNIONIENĖ,61,44
Lietuvos Respublikos liberalų sąjūdis,Šarūnas SKUČAS,62,106
Lietuvos Respublikos liberalų sąjūdis,Dalytė RUDZEVIČIENĖ,63,75
Lietuvos Respublikos liberalų sąjūdis,Vincas JURGUTIS,64,53
Lietuvos Respublikos liberalų sąjūdis,Daiva JUODELIENĖ,65,71
Lietuvos Respublikos liberalų sąjūdis,Aurimas MOCKUS,66,133
Lietuvos Respublikos liberalų sąjūdis,Raimondas PLIKŠNYS,67,91
Lietuvos Respublikos liberalų sąjūdis,Liudas ANDRIKIS,68,107
Lietuvos Respublikos liberalų sąjūdis,Darius KRIŠTAPONIS,69,76
Lietuvos Respublikos liberalų sąjūdis,Regina MIKŠTAITĖ-ČIČIURKIENĖ,70,90
Lietuvos Respublikos liberalų sąjūdis,Algis Petras KRUTKEVIČIUS,71,50
Lietuvos Respublikos liberalų sąjūdis,Vytautas ZUBRAS,72,54
Lietuvos Respublikos liberalų sąjūdis,Reda ZAKARAUSKAITĖ,73,124
Lietuvos Respublikos liberalų sąjūdis,Aira VISOCKAITĖ,74,72
Lietuvos Respublikos liberalų sąjūdis,Algimantas ŠABLINSKAS,75,81
Lietuvos Respublikos liberalų sąjūdis,Lukas PAKELTIS,76,68
Lietuvos Respublikos liberalų sąjūdis,Arvydas ŠVIRMICKAS,77,47
Lietuvos Respublikos liberalų sąjūdis,Gytis LUKOŠEVIČIUS,78,60
Lietuvos Respublikos liberalų sąjūdis,Gytis ANDRULIONIS,79,92
Lietuvos Respublikos liberalų sąjūdis,Irena TURKEVIČIENĖ,80,80
Lietuvos Respublikos liberalų sąjūdis,Kęstutis MACIONIS,81,99
Lietuvos Respublikos liberalų sąjūdis,Zita KUKURAITIENĖ,82,58
Lietuvos Respublikos liberalų sąjūdis,Gediminas DAUKŠYS,83,117
Lietuvos Respublikos liberalų sąjūdis,Regina ROZENBLAT,84,101
Lietuvos Respublikos liberalų sąjūdis,Eugenijus KURTINAITIS,85,59
Lietuvos Respublikos liberalų sąjūdis,Audrius MASILIONIS,86,51
Lietuvos Respublikos liberalų sąjūdis,Gita KONDROTAITĖ,87,98
Lietuvos Respublikos liberalų sąjūdis,Dalia DRAUGELIENĖ,88,95
Lietuvos Respublikos liberalų sąjūdis,Simona JUCIENĖ,89,110
Lietuvos Respublikos liberalų sąjūdis,Lina ZUPKAITĖ,90,74
Lietuvos Respublikos liberalų sąjūdis,Jonas KUKUKAS,91,89
Lietuvos Respublikos liberalų sąjūdis,Albinas KUNCEVIČIUS,92,138
Lietuvos Respublikos liberalų sąjūdis,Virgilijus EIDIMTAS,93,93
Lietuvos Respublikos liberalų sąjūdis,Lina SUKACKIENĖ,94,77
Lietuvos Respublikos liberalų sąjūdis,Rita BALTADUONYTĖ-LEONIENĖ,95,66
Lietuvos Respublikos liberalų sąjūdis,Vytautas DANILEVIČIUS,96,87
Lietuvos Respublikos liberalų sąjūdis,Remigijus MAKAUSKAS,97,49
Lietuvos Respublikos liberalų sąjūdis,Skirmantė GRICIŪNIENĖ,98,70
Lietuvos Respublikos liberalų sąjūdis,Tomas VAITKEVIČIUS,99,62
Lietuvos Respublikos liberalų sąjūdis,Rita JAGMINIENĖ,100,119
Lietuvos Respublikos liberalų sąjūdis,Paulius RUMBUTIS,101,137
Lietuvos Respublikos liberalų sąjūdis,Artūras KILTINAVIČIUS,102,103
Lietuvos Respublikos liberalų sąjūdis,Vaidotas ILGIUS,103,73
Lietuvos Respublikos liberalų sąjūdis,Alfonsas KLIMAS,104,67
Lietuvos Respublikos liberalų sąjūdis,Brigita BINGELYTĖ,105,129
Lietuvos Respublikos liberalų sąjūdis,Romanas Algimantas SEDLICKAS,106,52
Lietuvos Respublikos liberalų sąjūdis,Jolanta Ada JANUITIENĖ,107,120
Lietuvos Respublikos liberalų sąjūdis,Aušra JAKUBĖLIENĖ,108,88
Lietuvos Respublikos liberalų sąjūdis,Daiva ŠEREIKIENĖ,109,84
Lietuvos Respublikos liberalų sąjūdis,Dainius JUOZAITIS,110,96
Lietuvos Respublikos liberalų sąjūdis,Adelė KARTEŠKINA,111,56
Lietuvos Respublikos liberalų sąjūdis,Arūnas BALSEVIČIUS,112,78
Lietuvos Respublikos liberalų sąjūdis,Sigitas MAJAUSKAS,113,83
Lietuvos Respublikos liberalų sąjūdis,Kristina MAŠIRKIENĖ,114,126
Lietuvos Respublikos liberalų sąjūdis,Gražina SUKURIENĖ,115,113
Lietuvos Respublikos liberalų sąjūdis,Danielius VALIAUGA,116,130
Lietuvos Respublikos liberalų sąjūdis,Jonas Kazys DZIRMEIKA,117,57
Lietuvos Respublikos liberalų sąjūdis,Kęstutis AKRAMAS,118,64
Lietuvos Respublikos liberalų sąjūdis,Romas SADAUSKAS,119,112
Lietuvos Respublikos liberalų sąjūdis,Daiva KRIKŠTAPONIENĖ,120,128
Lietuvos Respublikos liberalų sąjūdis,Arūnas MALIAUKA,121,135
Lietuvos Respublikos liberalų sąjūdis,Gytis GRIGONIS,122,109
Lietuvos Respublikos liberalų sąjūdis,Romas REMĖZA,123,132
Lietuvos Respublikos liberalų sąjūdis,Rūtenis VIRBICKAS,124,85
Lietuvos Respublikos liberalų sąjūdis,Edvardas VITKAUSKAS,125,131
Lietuvos Respublikos liberalų sąjūdis,Renatas SALADŽIUS,126,121
Lietuvos Respublikos liberalų sąjūdis,Paulius KERAS,127,97
