Number of voters (balsuotojų skaičius),Distirct No (apylinkės nr.),Turnouts (balsų skaičius),Valid ballot papers (galiojančių biuletenių skaičius),Invalid ballot papers percent (negaliojančių biuletenių procentas),Distirct (apylinkė),Turnouts percent (balsavusiųjų procentas),Invalid ballot papers (negaliojančių biuletenių skaičius),Valid ballot papers percent (galiojančių biuletenių procentas)
413,8,226,212,6.19,Naujosios Ūtos,54.72,14,93.81
466,9,230,224,2.61,Jiestrakio,49.36,6,97.39
450,,209,197,5.74,Klebiškio,46.44,12,94.26
576,7,286,273,4.55,A.Kirsnos,49.65,13,95.45
263,8,136,129,5.15,Grūto,51.71,7,94.85
375,8,197,189,4.06,Kirsnos,52.53,8,95.94
345,9,203,192,5.42,Krikštonių,58.84,11,94.58
320,9,170,163,4.12,Švendubrės,53.12,7,95.88
1447,,690,647,6.23,Viečiūnų,47.68,43,93.77
795,,414,390,5.8,Krosnos,52.08,24,94.2
926,1,487,462,5.13,Neravų,52.59,25,94.87
586,1,265,250,5.66,Šilavoto,45.22,15,94.34
1077,3,487,452,7.19,Skriaudžių,45.22,35,92.81
536,4,260,239,8.08,Juodbūdžio,48.51,21,91.92
1593,5,848,811,4.36,Veiverių,53.23,37,95.64
865,6,487,463,4.93,Balbieriškio miestelio,56.3,24,95.07
1025,7,593,556,6.24,Jiezno miesto,57.85,37,93.76
746,8,402,383,4.73,Jiezno kaimiškoji,53.89,19,95.27
500,1,243,233,4.12,Kuklių,48.6,10,95.88
658,2,331,318,3.93,Kučiūnų,50.3,13,96.07
1890,2,912,868,4.82,Leipalingio,48.25,44,95.18
301,3,153,146,4.58,Vytautų,50.83,7,95.42
193,3,103,99,3.88,Lipliūnų,53.37,4,96.12
932,4,410,395,3.66,Ricielių,43.99,15,96.34
4598,4,2511,2388,4.9,Lazdijų,54.61,123,95.1
283,5,148,137,7.43,Metelių,52.3,11,92.57
669,9,323,308,4.64,Kašonių,48.28,15,95.36
308,,165,156,5.45,Vėžionių,53.57,9,94.55
613,1,281,259,7.83,Ašmintos,45.84,22,92.17
776,2,409,393,3.91,Strielčių,52.71,16,96.09
759,3,315,304,3.49,Balbieriškio kaimiškoji,41.5,11,96.51
604,4,340,314,7.65,Paprūdžių,56.29,26,92.35
291,5,129,121,6.2,Žiūronių,44.33,8,93.8
1628,1,980,921,6.02,Žiburio,60.2,59,93.98
2104,2,1235,1181,4.37,Varpo,58.7,54,95.63
1372,3,767,736,4.04,Aušros,55.9,31,95.96
481,4,246,237,3.66,Barzdų,51.14,9,96.34
378,5,182,181,0.55,Baltrušių,48.15,1,99.45
431,6,191,186,2.62,Būblelių,44.32,5,97.38
311,6,157,148,5.73,Nemajūnų,50.48,9,94.27
301,7,146,141,3.42,Noragėlių,48.5,5,96.58
233,8,92,88,4.35,Petroškų,39.48,4,95.65
446,9,230,216,6.09,Rudaminos,51.57,14,93.91
