Number of voters (balsuotojų skaičius),Distirct No (apylinkės nr.),Turnouts (balsų skaičius),Valid ballot papers (galiojančių biuletenių skaičius),Invalid ballot papers percent (negaliojančių biuletenių procentas),Distirct (apylinkė),Turnouts percent (balsavusiųjų procentas),Invalid ballot papers (negaliojančių biuletenių skaičius),Valid ballot papers percent (galiojančių biuletenių procentas)
200,2,116,111,4.31,Konstantinavos,58.0,5,95.69
914,3,546,510,6.59,Obelių,59.74,36,93.41
491,1,266,260,2.26,Adomynės,54.18,6,97.74
3130,1,1812,1717,5.24,Senamiesčio,57.89,95,94.76
1645,2,1004,969,3.49,Janydžių,61.03,35,96.51
1866,3,1093,1043,4.57,Ažupiečių,58.57,50,95.43
2267,1,1132,1082,4.42,Atžalyno,49.93,50,95.58
583,2,323,312,3.41,Alizavos,55.4,11,96.59
922,2,511,488,4.5,Rotušės,55.42,23,95.5
2416,3,1329,1275,4.06,Aušros,55.01,54,95.94
581,3,337,331,1.78,Antašavos,58.0,6,98.22
599,1,314,303,3.5,Geležių,52.42,11,96.5
1073,1,589,562,4.58,Joniškėlio,54.89,27,95.42
705,2,323,305,5.57,Tiltagalių,45.82,18,94.43
2635,2,1292,1277,1.16,P.Vileišio,49.03,15,98.84
555,3,243,234,3.7,Karsakiškio,43.78,9,96.3
1121,9,485,473,2.47,Taikos,43.26,12,97.53
1129,,486,477,1.85,Vilties,43.05,9,98.15
240,,123,114,7.32,Samanių,51.25,9,92.68
381,1,233,226,3.0,Suvieko,61.15,7,97.0
1172,1,546,529,3.11,Bangos,46.59,17,96.89
1138,2,465,457,1.72,Auksinio gaidelio,40.86,8,98.28
560,2,281,268,4.63,Dimitriškių,50.18,13,95.37
754,3,404,393,2.72,Biliakiemio,53.58,11,97.28
514,4,268,260,2.99,Vaikutėnų,52.14,8,97.01
1047,5,595,577,3.03,Užpalių,56.83,18,96.97
354,6,188,183,2.66,Kaniukų,53.11,5,97.34
226,7,105,100,4.76,Vilučių,46.46,5,95.24
1071,8,573,557,2.79,Vyžuonų,53.5,16,97.21
2342,,1227,1179,3.91,Naujasodžio,52.39,48,96.09
1947,1,869,839,3.45,Smėlio,44.63,30,96.55
1544,4,747,720,3.61,Pandėlio,48.38,27,96.39
1588,5,921,874,5.1,Juodupės,58.0,47,94.9
1132,6,536,523,2.43,Juodupės kaimiškoji,47.35,13,97.57
284,8,145,135,6.9,Lukštų,51.06,10,93.1
848,9,412,403,2.18,Jūžintų,48.58,9,97.82
701,,344,331,3.78,Laibgalių,49.07,13,96.22
294,1,154,147,4.55,Sėlynės,52.38,7,95.45
607,2,360,339,5.83,Kamajų,59.31,21,94.17
2713,4,1475,1419,3.8,Liudiškių,54.37,56,96.2
497,5,263,260,1.14,Piktagalio,52.92,3,98.86
216,5,107,99,7.48,Biliūnų,49.54,8,92.52
284,6,134,126,5.97,Juodpėnų,47.18,8,94.03
567,6,300,290,3.33,Ažuožerių,52.91,10,96.67
1110,7,571,552,3.33,Elmos,51.44,19,96.67
657,8,326,317,2.76,Burbiškio,49.62,9,97.24
718,4,355,346,2.54,Aukštupėnų,49.44,9,97.46
2359,4,1272,1202,5.5,Saulės,53.92,70,94.5
3223,5,1597,1575,1.38,Kaštonų,49.55,22,98.62
286,6,144,141,2.08,Anglininkų,50.35,3,97.92
570,7,301,290,3.65,Kratiškių,52.81,11,96.35
2960,7,1503,1451,3.46,Račiupėnų,50.78,52,96.54
381,8,137,134,2.19,Nausėdžių,35.96,3,97.81
1878,8,988,942,4.66,Kupos,52.61,46,95.34
2511,3,1345,1277,5.06,Kalno,53.56,68,94.94
553,4,297,289,2.69,Paliūniškio,53.71,8,97.31
2003,4,1008,964,4.37,Vilniaus,50.32,44,95.63
610,5,320,302,5.62,Daujėnų,52.46,18,94.38
1637,5,795,767,3.52,Piniavos,48.56,28,96.48
517,6,256,243,5.08,Girsūdų,49.52,13,94.92
1078,6,490,466,4.9,Bernatonių,45.45,24,95.1
1387,7,595,571,4.03,Paįstrio,42.9,24,95.97
776,1,388,372,4.12,Balsių,50.0,16,95.88
2923,1,1583,1513,4.42,Žemaičių,54.16,70,95.58
484,2,213,203,4.69,Bardiškių,44.01,10,95.31
3036,2,1767,1689,4.41,Livonijos,58.2,78,95.59
2854,1,1527,1462,4.26,Ginkūnų,53.5,65,95.74
1281,2,654,635,2.91,Bridų,51.05,19,97.09
1013,3,603,573,4.98,Vijolių,59.53,30,95.02
286,7,120,116,3.33,Pakapės,41.96,4,96.67
440,8,182,172,5.49,Einoraičių,41.36,10,94.51
970,9,497,484,2.62,Bubių,51.24,13,97.38
318,1,150,146,2.67,Acokavų,47.17,4,97.33
831,2,430,410,4.65,Alksniupių,51.74,20,95.35
953,3,449,414,7.8,Aukštelkų,47.11,35,92.2
2093,4,1118,1064,4.83,Baisogalos,53.42,54,95.17
448,5,214,203,5.14,Beinoravos,47.77,11,94.86
467,3,195,189,3.08,Magučių,41.76,6,96.92
1161,3,524,518,1.15,Vilties šaltinio,45.13,6,98.85
340,4,172,170,1.16,Šaulių,50.59,2,98.84
1382,4,555,542,2.34,Gintarėlio,40.16,13,97.66
1188,5,402,389,3.23,Ąžuoliuko,33.84,13,96.77
579,5,320,298,6.88,Štadvilių,55.27,22,93.12
326,6,163,156,4.29,Kimbartiškės,50.0,7,95.71
1381,6,551,538,2.36,Žiburio,39.9,13,97.64
315,3,164,161,1.83,Aukštakalnių,52.06,3,98.17
232,4,135,127,5.93,Duokiškio,58.19,8,94.07
377,5,243,233,4.12,Kalvių,64.46,10,95.88
406,6,271,263,2.95,Salų,66.75,8,97.05
497,7,272,261,4.04,Kriaunų,54.73,11,95.96
315,8,166,159,4.22,Lašų,52.7,7,95.78
271,9,194,178,8.25,Kairelių,71.59,16,91.75
421,9,190,181,4.74,Šlavėnų,45.13,9,95.26
1222,,598,571,4.52,Debeikių,48.94,27,95.48
249,,129,125,3.1,Laičių,51.81,4,96.9
444,1,216,209,3.24,Lukonių,48.65,7,96.76
393,1,217,213,1.84,Leliūnų,55.22,4,98.16
896,2,520,497,4.42,Kavarsko,58.04,23,95.58
190,2,104,102,1.92,Migonių,54.74,2,98.08
345,3,174,164,5.75,Naivių,50.43,10,94.25
1415,9,716,686,4.19,Senamiesčio,50.6,30,95.81
829,9,474,461,2.74,Obelaukių,57.18,13,97.26
1630,,727,684,5.91,Rinkuškių,44.6,43,94.09
518,1,218,213,2.29,Germaniškio,42.08,5,97.71
787,2,306,297,2.94,Nemunėlio Radviliškio,38.88,9,97.06
280,3,122,114,6.56,Pučiakalnės,43.57,8,93.44
694,4,317,313,1.26,Kirdonių,45.68,4,98.74
574,5,264,255,3.41,Paketurių,45.99,9,96.59
481,7,241,231,4.15,Švobiškio,50.1,10,95.85
241,8,105,98,6.67,Norgėlų,43.57,7,93.33
617,8,280,265,5.36,Daukniūnų,45.38,15,94.64
520,9,191,184,3.66,Meškalaukio,36.73,7,96.34
603,,273,249,8.79,Nakiškių,45.27,24,91.21
517,1,261,251,3.83,Narteikių,50.48,10,96.17
676,2,319,305,4.39,Krinčino,47.19,14,95.61
240,3,128,125,2.34,Gulbinėnų,53.33,3,97.66
178,3,96,90,6.25,Degesių,53.93,6,93.75
2626,3,1383,1329,3.9,V.Kudirkos,52.67,54,96.1
247,4,140,133,5.0,Degučių,56.68,7,95.0
195,5,86,84,2.33,Draudelių,44.1,2,97.67
752,5,319,304,4.7,Bariūnų,42.42,15,95.3
335,6,174,166,4.6,Dvariškių,51.94,8,95.4
257,6,81,77,4.94,Darginių,31.52,4,95.06
243,7,121,118,2.48,Gačionių,49.79,3,97.52
433,,198,176,11.11,Gilvyčių,45.73,22,88.89
609,1,329,313,4.86,Kurtuvėnų,54.02,16,95.14
775,2,397,385,3.02,Bazilionų,51.23,12,96.98
1897,3,1023,983,3.91,Kairių,53.93,40,96.09
459,4,229,220,3.93,Šilėnų,49.89,9,96.07
476,5,219,205,6.39,Žadžiūnų,46.01,14,93.61
1120,6,558,525,5.91,Meškuičių,49.82,33,94.09
715,7,388,381,1.8,Naisių,54.27,7,98.2
359,6,163,149,8.59,Butėnų,45.4,14,91.41
443,7,205,193,5.85,Daugėlaičių,46.28,12,94.15
564,8,266,256,3.76,Gražionių,47.16,10,96.24
142,9,87,84,3.45,Gražiškių,61.27,3,96.55
773,,391,378,3.32,Grinkiškio,50.58,13,96.68
244,2,143,141,1.4,Kairėnų,58.61,2,98.6
617,3,294,275,6.46,Karčemų,47.65,19,93.54
658,2,316,305,3.48,Aristavos,48.02,11,96.52
2404,4,1413,1360,3.75,Babėnų,58.78,53,96.25
508,6,239,229,4.18,Vikaičių,47.05,10,95.82
1284,7,649,613,5.55,Dotnuvos,50.55,36,94.45
524,8,277,267,3.61,Gudžiūnų,52.86,10,96.39
430,,266,260,2.26,Kalnaberžės,61.86,6,97.74
233,7,116,111,4.31,Smalvų,49.79,5,95.69
669,8,303,295,2.64,Turmanto,45.29,8,97.36
1042,9,523,505,3.44,Dusetų,50.19,18,96.56
231,,118,115,2.54,Sadūnų,51.08,3,97.46
1102,1,602,577,4.15,Užtiltės,54.63,25,95.85
2925,2,1596,1520,4.76,Zarasų rytų,54.56,76,95.24
1748,3,1011,963,4.75,Zarasų vakarų,57.84,48,95.25
1480,4,888,842,5.18,Zarasų šiaurės,60.0,46,94.82
235,,157,153,2.55,Pakriaunių,66.81,4,97.45
187,1,102,97,4.9,Aleksandravėlės,54.55,5,95.1
227,2,118,113,4.24,Zarinkiškių,51.98,5,95.76
363,3,183,181,1.09,Antanašės,50.41,2,98.91
544,4,285,275,3.51,Obelių,52.39,10,96.49
226,5,121,114,5.79,Suvainiškio,53.54,7,94.21
282,7,146,145,0.68,Sriubiškių,51.77,1,99.32
251,3,118,116,1.69,Dabužių,47.01,2,98.31
721,4,321,301,6.23,Janušavos,44.52,20,93.77
1406,4,648,624,3.7,Noriūnų,46.09,24,96.3
431,5,209,203,2.87,Svirnų,48.49,6,97.13
368,6,189,181,4.23,Šerių,51.36,8,95.77
453,6,192,183,4.69,Rudilių,42.38,9,95.31
154,7,88,82,6.82,Šovenių,57.14,6,93.18
495,8,262,255,2.67,Kurklių,52.93,7,97.33
884,5,426,410,3.76,Pabiržės,48.19,16,96.24
449,6,213,211,0.94,Pačeriaukštės,47.44,2,99.06
443,7,200,192,4.0,Pasvaliečių,45.15,8,96.0
604,7,291,278,4.47,Salamiesčio,48.18,13,95.53
398,8,203,196,3.45,Juostaviečių,51.01,7,96.55
321,9,170,158,7.06,Einorių,52.96,12,92.94
284,,155,141,9.03,Kraštų,54.58,14,90.97
382,1,227,214,5.73,Kupreliškio,59.42,13,94.27
851,4,396,383,3.28,Pajiešmenių,46.53,13,96.72
805,5,394,374,5.08,Papyvesių,48.94,20,94.92
512,6,217,206,5.07,Talačkonių,42.38,11,94.93
869,7,402,381,5.22,Ustukių,46.26,21,94.78
396,8,172,161,6.4,Valakėlių,43.43,11,93.6
941,9,433,409,5.54,Pumpėnų,46.01,24,94.46
556,,279,274,1.79,Jurgėnų,50.18,5,98.21
164,8,60,59,1.67,Gedučių,36.59,1,98.33
802,9,253,222,12.25,Guostagalio,31.55,31,87.75
449,,211,206,2.37,Gasčiūnų,46.99,5,97.63
327,,167,166,0.6,Grikpėdžių,51.07,1,99.4
761,1,423,403,4.73,Klovainių,55.58,20,95.27
340,2,148,147,0.68,Kalpokų,43.53,1,99.32
417,3,191,184,3.66,Plikiškių,45.8,7,96.34
184,3,71,69,2.82,Kauksnųjų,38.59,2,97.18
1491,8,729,681,6.58,Gruzdžių,48.89,48,93.42
378,9,193,175,9.33,Šiupylių,51.06,18,90.67
1572,,698,663,5.01,Kužių,44.4,35,94.99
321,1,145,139,4.14,Gilaičių,45.17,6,95.86
615,2,243,237,2.47,Verbūnų,39.51,6,97.53
280,3,127,121,4.72,Smilgių,45.36,6,95.28
2271,4,1288,1229,4.58,L. Ivinskio,56.72,59,95.42
1149,5,663,628,5.28,Centro,57.7,35,94.72
645,4,293,287,2.05,Kutiškių,45.43,6,97.95
236,5,98,93,5.1,Miežaičių,41.53,5,94.9
182,6,110,109,0.91,Minaičių,60.44,1,99.09
887,7,408,397,2.7,Pakiršinio,46.0,11,97.3
452,8,140,137,2.14,Palonų,30.97,3,97.86
266,9,125,122,2.4,Papušynio,46.99,3,97.6
513,,229,219,4.37,Pašušvio,44.64,10,95.63
251,1,138,135,2.17,Kaplių,54.98,3,97.83
838,2,333,319,4.2,Keleriškių,39.74,14,95.8
636,6,306,297,2.94,Lančiūnavos,48.11,9,97.06
3477,8,1800,1725,4.17,Liaudies,51.77,75,95.83
340,9,173,164,5.2,Mantviliškio,50.88,9,94.8
1972,2,1132,1070,5.48,Naujoji,57.4,62,94.52
484,3,206,201,2.43,Miegėnų,42.56,5,97.57
383,5,166,164,1.2,Okainių,43.34,2,98.8
2502,1,1593,1504,5.59,Prabaudos,63.67,89,94.41
2251,2,1456,1394,4.26,Stonų,64.68,62,95.74
1912,3,1287,1205,6.37,Centro,67.31,82,93.63
374,1,171,161,5.85,Budraičių,45.72,10,94.15
265,2,136,132,2.94,Butkiškės,51.32,4,97.06
380,3,201,193,3.98,Dubėnų,52.89,8,96.02
376,4,121,121,,Gailių,32.18,,100.0
679,6,267,259,3.0,Janaučių,39.32,8,97.0
3040,1,1429,1377,3.64,Lygumų,47.01,52,96.36
2542,2,1383,1326,4.12,Masčio,54.41,57,95.88
1729,3,939,893,4.9,Respublikos,54.31,46,95.1
3013,4,1440,1381,4.1,Žemaitės,47.79,59,95.9
2194,5,1198,1146,4.34,Muziejaus,54.6,52,95.66
2243,6,1274,1225,3.85,Šviesos,56.8,49,96.15
285,8,145,137,5.52,Lailūnų,50.88,8,94.48
324,,176,174,1.14,Panemunio,54.32,2,98.86
845,1,449,436,2.9,Stoties,53.14,13,97.1
367,2,195,187,4.1,Panemunėlio,53.13,8,95.9
672,8,349,338,3.15,Skapiškio,51.93,11,96.85
471,9,251,236,5.98,Skverbų,53.29,15,94.02
362,9,185,175,5.41,Kurklių II k.,51.1,10,94.59
404,,237,236,0.42,Staškūniškio,58.66,1,99.58
884,,473,450,4.86,Subačiaus,53.51,23,95.14
321,1,166,157,5.42,Katlėrių,51.71,9,94.58
966,1,431,411,4.64,Šepetos,44.62,20,95.36
536,2,302,295,2.32,Šimonių,56.34,7,97.68
377,2,170,163,4.12,Kvetkų,45.09,7,95.88
274,3,130,124,4.62,Virbališkių,47.45,6,95.38
476,3,245,230,6.12,Papilio,51.47,15,93.88
651,4,265,244,7.92,Medeikių,40.71,21,92.08
396,4,179,173,3.35,Žaidelių,45.2,6,96.65
761,5,358,348,2.79,Parovėjos,47.04,10,97.21
390,6,179,169,5.59,Užušilių,45.9,10,94.41
291,7,145,137,5.52,Ančiškių,49.83,8,94.48
611,,307,295,3.91,Smilgių,50.25,12,96.09
424,1,230,217,5.65,Kriklinių,54.25,13,94.35
319,1,175,164,6.29,Sujėtų,54.86,11,93.71
521,2,254,249,1.97,Perekšlių,48.75,5,98.03
342,2,156,150,3.85,Rinkūnų,45.61,6,96.15
824,3,393,376,4.33,Pušaloto,47.69,17,95.67
588,4,258,250,3.1,Mikoliškio,43.88,8,96.9
199,4,103,102,0.97,Laipuškių,51.76,1,99.03
410,4,206,200,2.91,Kepalių,50.24,6,97.09
302,5,157,145,7.64,Linksmučių,51.99,12,92.36
363,5,192,189,1.56,Kirnaičių,52.89,3,98.44
1644,6,804,744,7.46,Linkuvos,48.91,60,92.54
480,6,252,242,3.97,Kriukų,52.5,10,96.03
406,7,183,175,4.37,Linų,45.07,8,95.63
644,8,306,283,7.52,Lygumų,47.52,23,92.48
2618,6,1382,1323,4.27,Gedimino,52.79,59,95.73
1578,7,856,816,4.67,Pušyno,54.25,40,95.33
1274,8,681,642,5.73,Pavenčių,53.45,39,94.27
1651,9,844,798,5.45,Daugėlių,51.12,46,94.55
847,,444,431,2.93,Micaičių,52.42,13,97.07
288,1,137,128,6.57,Varputėnų,47.57,9,93.43
293,2,155,148,4.52,Gergždelių,52.9,7,95.48
393,3,183,172,6.01,Pakumulšių,46.56,11,93.99
668,1,326,316,3.07,Pavartyčių,48.8,10,96.93
431,2,216,211,2.31,Pociūnų,50.12,5,97.69
595,3,249,235,5.62,Pociūnėlių,41.85,14,94.38
395,4,203,192,5.42,Polekėlės,51.39,11,94.58
2450,5,1263,1204,4.67,Vaižganto,51.55,59,95.33
2066,6,1155,1101,4.68,Lituanikos,55.91,54,95.32
2166,7,1319,1257,4.7,Kudirkos,60.9,62,95.3
476,7,255,244,4.31,Pagirių,53.57,11,95.69
1107,9,582,557,4.3,Parko,52.57,25,95.7
2566,3,1372,1319,3.86,Pergalės,53.47,53,96.14
210,5,127,123,3.15,Petkūnų,60.48,4,96.85
2251,6,1299,1247,4.0,Radvilų,57.71,52,96.0
1089,8,577,561,2.77,Senamiesčio,52.98,16,97.23
396,9,203,196,3.45,Sirutiškio,51.26,7,96.55
1624,1,1012,973,3.85,Smilgos,62.32,39,96.15
2820,4,1825,1719,5.81,Pramonės,64.72,106,94.19
501,5,328,318,3.05,Kalnujų,65.47,10,96.95
210,6,160,158,1.25,Pašaltuonio,76.19,2,98.75
1062,7,686,660,3.79,Sujainių,64.6,26,96.21
400,8,275,269,2.18,Slabados,68.75,6,97.82
2112,9,1230,1167,5.12,Viduklės,58.24,63,94.88
234,,154,147,4.55,Paupio,65.81,7,95.45
656,1,397,366,7.81,Pryšmančių,60.52,31,92.19
580,7,293,279,4.78,Junkilų,50.52,14,95.22
510,8,235,216,8.09,Karklėnų,46.08,19,91.91
3055,9,1604,1540,3.99,Centro,52.5,64,96.01
3261,,1552,1467,5.48,A.Mackevičiaus,47.59,85,94.52
2198,1,1130,1098,2.83,Kalno,51.41,32,97.17
282,2,133,131,1.5,Kiaunorių,47.16,2,98.5
437,3,225,215,4.44,Kolainių,51.49,10,95.56
928,4,515,501,2.72,Kražių,55.5,14,97.28
532,7,317,310,2.21,Kalno,59.59,7,97.79
1688,8,948,910,4.01,Kęstučio,56.16,38,95.99
1747,9,867,828,4.5,Sedos,49.63,39,95.5
2696,,1489,1427,4.16,P.Cvirkos,55.23,62,95.84
1032,1,534,516,3.37,Degaičių,51.74,18,96.63
832,2,343,324,5.54,Eigirdžių,41.23,19,94.46
1005,3,407,388,4.67,Buožėnų,40.5,19,95.33
436,4,178,171,3.93,Gedrimų,40.83,7,96.07
1570,1,840,795,5.36,Senamiesčio,53.5,45,94.64
1976,2,1010,963,4.65,V. Kudirkos,51.11,47,95.35
1930,3,1032,963,6.69,Respublikos,53.47,69,93.31
2130,4,1016,955,6.0,Žagarės,47.7,61,94.0
2555,1,1384,1316,4.91,M.Račkausko,54.17,68,95.09
1808,2,999,946,5.31,Senamieščio,55.25,53,94.69
1875,3,1024,983,4.0,Kęstučio,54.61,41,96.0
2106,4,1054,995,5.6,Gabijos,50.05,59,94.4
3025,5,1602,1548,3.37,Žemaitijos,52.96,54,96.63
1610,6,831,803,3.37,Reivyčių,51.61,28,96.63
2140,1,1144,1081,5.51,Skuodo,53.46,63,94.49
2173,2,1077,1018,5.48,Vilniaus,49.56,59,94.52
2034,3,906,849,6.29,Laisvės,44.54,57,93.71
570,4,284,273,3.87,Aleksandrijos,49.82,11,96.13
460,5,219,204,6.85,Kaukolikų,47.61,15,93.15
492,2,232,226,2.59,Skiemonių,47.15,6,97.41
293,3,164,158,3.66,Mačionių,55.97,6,96.34
214,4,133,130,2.26,Daujočių,62.15,3,97.74
174,5,109,99,9.17,Aulelių,62.64,10,90.83
1335,6,709,681,3.95,Svėdasų,53.11,28,96.05
299,7,201,190,5.47,Vaitkūnų,67.22,11,94.53
1325,8,627,606,3.35,Troškūnų,47.32,21,96.65
190,,98,97,1.02,Vašuokėnų,51.58,1,98.98
291,8,166,161,3.01,Jasiuliškių,57.04,5,96.99
367,9,189,182,3.7,Meilūnų,51.5,7,96.3
361,,194,185,4.64,Ramongalių,53.74,9,95.36
270,1,210,201,4.29,Šukionių,77.78,9,95.71
1024,2,611,571,6.55,Vabalninko,59.67,40,93.45
209,5,125,123,1.6,Deglėnų,59.81,2,98.4
351,6,179,172,3.91,Kiemėnų,51.0,7,96.09
449,7,255,240,5.88,Namišių,56.79,15,94.12
671,8,288,279,3.12,Raubonių,42.92,9,96.88
1066,9,420,399,5.0,Saločių,39.4,21,95.0
200,,130,130,,Žadeikonių,65.0,,100.0
455,1,194,184,5.15,Žilpamūšio,42.64,10,94.85
864,1,540,519,3.89,Paežerio,62.5,21,96.11
313,9,160,154,3.75,Mindaugių,51.12,6,96.25
877,9,412,396,3.88,Mažeikonių,46.98,16,96.12
274,,137,132,3.65,Mikniūnų,50.0,5,96.35
353,1,146,140,4.11,Medikonių,41.36,6,95.89
356,1,165,161,2.42,Satkūnų,46.35,4,97.58
205,2,89,83,6.74,Mikoliškio,43.41,6,93.26
2855,3,1642,1574,4.14,Naujamiesčio,57.51,68,95.86
1964,4,1080,1034,4.26,Pakruojo,54.99,46,95.74
1264,4,501,477,4.79,Drąsučių,39.64,24,95.21
230,5,111,105,5.41,Romučių,48.26,6,94.59
319,6,149,141,5.37,Sauginių,46.71,8,94.63
629,7,315,294,6.67,Raudėnų,50.08,21,93.33
501,8,212,199,6.13,Dirvonėnų,42.32,13,93.87
676,9,259,248,4.25,Šakynos,38.31,11,95.75
480,,188,183,2.66,Žarėnų,39.17,5,97.34
2540,8,1254,1191,5.02,Rūmų,49.37,63,94.98
2463,9,1393,1339,3.88,Lizdeikos,56.56,54,96.12
927,,353,340,3.68,Raudondvario,38.08,13,96.32
820,1,391,377,3.58,Sidabravo,47.68,14,96.42
481,2,256,245,4.3,Skėmių,53.22,11,95.7
627,3,315,302,4.13,Šaukoto,50.24,13,95.87
1118,4,619,588,5.01,Šeduvos,55.37,31,94.99
1258,5,634,611,3.63,Mokyklos,50.4,23,96.37
1163,2,522,497,4.79,Statybininkų,44.88,25,95.21
554,3,314,300,4.46,Surviliškio,56.68,14,95.54
1030,4,562,535,4.8,Šėtos,54.56,27,95.2
619,5,314,300,4.46,Šlapaberžės,50.73,14,95.54
2361,6,1321,1259,4.69,Taikos,55.95,62,95.31
734,7,347,330,4.9,Tiskūnų,47.28,17,95.1
501,8,279,271,2.87,Truskavos,55.69,8,97.13
1178,,739,699,5.41,Vilainių,62.73,40,94.59
1188,2,737,690,6.38,Nemakščių,62.04,47,93.62
528,3,256,247,3.52,Kryžkalnio,48.48,9,96.48
1560,4,938,894,4.69,Ariogalos,60.13,44,95.31
353,5,231,225,2.6,Šarkių,65.44,6,97.4
502,6,341,328,3.81,Gėluvos,67.93,13,96.19
265,7,189,176,6.88,Dainavos,71.32,13,93.12
526,8,325,315,3.08,Butkiškės,61.79,10,96.92
889,5,418,403,3.59,Kukečių,47.02,15,96.41
274,6,153,147,3.92,Laugalio,55.84,6,96.08
830,7,426,392,7.98,Liolių,51.33,34,92.02
609,8,295,281,4.75,Lupikų,48.44,14,95.25
559,9,241,237,1.66,Maironių,43.11,4,98.34
306,,159,155,2.52,Minupių,51.96,4,97.48
379,1,192,186,3.12,Mockaičių,50.66,6,96.88
854,2,390,370,5.13,Pagryžuvio,45.67,20,94.87
738,5,376,360,4.26,Nevarėnų,50.95,16,95.74
298,6,138,133,3.62,Mitkaičių,46.31,5,96.38
292,7,140,137,2.14,Nerimdaičių,47.95,3,97.86
1060,8,359,352,1.95,Ubiškės,33.87,7,98.05
1289,9,591,561,5.08,Tryškių,45.85,30,94.92
650,,277,271,2.17,Kaunatavos,42.62,6,97.83
563,1,243,236,2.88,Upynos,43.16,7,97.12
405,2,147,133,9.52,Kirklių,36.3,14,90.48
1486,4,824,785,4.73,Ramučių,55.45,39,95.27
348,5,165,164,0.61,Agluonų,47.41,1,99.39
919,6,573,544,5.06,Akmenės 1-oji,62.35,29,94.94
473,7,240,231,3.75,Alkiškių,50.74,9,96.25
363,7,167,162,2.99,Daunoriškės,46.01,5,97.01
385,8,186,176,5.38,Daukšių,48.31,10,94.62
580,8,222,210,5.41,Daubiškių,38.28,12,94.59
3540,7,1650,1581,4.18,Pavasario,46.61,69,95.82
3542,8,1866,1786,4.29,Naftininkų,52.68,80,95.71
2222,9,1032,991,3.97,Pavenčių,46.44,41,96.03
2570,,1307,1252,4.21,Sodų,50.86,55,95.79
2310,1,913,863,5.48,Kalnėnų,39.52,50,94.52
3389,2,1602,1528,4.62,Ventos,47.27,74,95.38
763,1,323,301,6.81,Krakių,42.33,22,93.19
413,6,156,154,1.28,Kapėnų,37.77,2,98.72
332,6,106,100,5.66,Gėsalų,31.93,6,94.34
843,7,345,337,2.32,Barstyčių,40.93,8,97.68
1208,9,587,558,4.94,Ylakių,48.59,29,95.06
430,,204,192,5.88,Trumplaukės,47.44,12,94.12
431,1,163,160,1.84,Vižančių,37.82,3,98.16
606,2,250,240,4.0,Pašilės,41.25,10,96.0
1796,3,897,849,5.35,Sedos,49.94,48,94.65
895,4,388,362,6.7,Lenkimų,43.35,26,93.3
1020,1,573,540,5.76,Parko,56.18,33,94.24
3090,2,1707,1620,5.1,M.Daujoto,55.24,87,94.9
3723,3,1819,1721,5.39,J.Pabrėžos,48.86,98,94.61
2397,4,1232,1195,3.0,Vytauto,51.4,37,97.0
355,1,179,175,2.23,Surdegio,50.42,4,97.77
187,2,87,81,6.9,Nausodės,46.52,6,93.1
396,3,231,228,1.3,Raguvėlės,58.33,3,98.7
332,4,145,138,4.83,Levaniškių,43.67,7,95.17
375,5,233,215,7.73,Traupio,62.13,18,92.27
470,6,256,249,2.73,Andrioniškio,54.47,7,97.27
788,7,433,413,4.62,Viešintų,54.95,20,95.38
409,2,163,152,6.75,Grūžių,39.85,11,93.25
393,3,193,183,5.18,Nairių,49.11,10,94.82
622,4,272,263,3.31,Tetirvinų,43.73,9,96.69
880,5,424,414,2.36,Vaškų,48.18,10,97.64
420,4,182,173,4.95,Skaistgirių,43.33,9,95.05
298,5,148,142,4.05,Pamūšio,49.66,6,95.95
175,5,113,113,,Bučiūnų,64.57,,100.0
389,6,201,188,6.47,Pašvitinio,51.67,13,93.53
193,6,93,88,5.38,Lieporų,48.19,5,94.62
187,7,97,95,2.06,Peleniškių,51.87,2,97.94
129,7,70,65,7.14,Blauzdžiūnų,54.26,5,92.86
250,8,110,110,,Preičiūnų,44.0,,100.0
308,,186,178,4.3,Plaučiškių,60.39,8,95.7
736,6,339,330,2.65,Šiaulėnų,46.06,9,97.35
669,7,298,280,6.04,Šniūraičių,44.54,18,93.96
390,8,191,185,3.14,Tyrulių,48.97,6,96.86
255,9,145,141,2.76,Vadaktų,56.86,4,97.24
259,,122,122,,Vaitiekūnų,47.1,,100.0
680,1,236,226,4.24,Vėriškių,34.71,10,95.76
297,3,105,104,0.95,Žeimių,35.35,1,99.05
2665,4,1453,1382,4.89,Eibariškių,54.52,71,95.11
1935,1,1070,1014,5.23,Žemaitės,55.3,56,94.77
662,2,429,422,1.63,Akademijos,64.8,7,98.37
385,3,207,202,2.42,Beržų,53.77,5,97.58
938,4,469,459,2.13,Dotnuvėlės,50.0,10,97.87
467,9,305,288,5.57,Verėduvos,65.31,17,94.43
350,,210,198,5.71,Milašaičių,60.0,12,94.29
389,1,250,239,4.4,Paliepių,64.27,11,95.6
532,2,364,352,3.3,Pramedžiavos,68.42,12,96.7
964,3,621,595,4.19,Girkalnio,64.42,26,95.81
289,4,171,164,4.09,Požėčių,59.17,7,95.91
165,5,89,79,11.24,Grajauskų,53.94,10,88.76
520,6,340,320,5.88,Betygalos,65.38,20,94.12
335,3,150,144,4.0,Pakėvio,44.78,6,96.0
731,4,337,323,4.15,Pakražančio,46.1,14,95.85
189,5,105,94,10.48,Pašiaušės,55.56,11,89.52
