42,34,11,12,0.92905
62,46,18,13,0.89561
56,49,18,24,0.87194
34,59,12,29,0.81278
121,108,26,10,0.8103
64,58,-7,15,0.80893
59,42,29,11,0.80281
75,57,-6,-5,0.78279
133,137,53,45,0.74394
83,76,16,27,0.73076
113,55,-5,-15,0.72105
55,65,-15,-37,0.71861
93,62,34,18,0.71299
93,46,34,13,0.70795
63,134,5,50,0.70365
129,31,28,10,0.70052
35,16,19,3,0.66006
103,16,64,3,0.6569
28,102,2,-13,0.64271
103,35,64,19,0.62426
69,57,-13,-5,0.60132
130,50,55,0,0.60129
50,37,0,10,0.59908
75,69,-6,-13,0.57973
130,37,55,10,0.57239
91,52,-39,-12,0.56676
90,84,34,33,0.55207
101,89,-35,-52,0.54416
58,7,15,2,0.53573
113,65,-5,-37,0.53316
124,123,16,37,0.53038
137,135,45,36,0.50826
