130,131,-9,14,0.96733
96,105,21,31,0.89371
117,132,-14,-8,0.86403
19,13,11,8,0.7725
72,69,-27,-53,0.75314
133,99,25,21,0.74588
65,55,14,-60,0.71554
88,60,-1,-34,0.69329
139,84,59,-9,0.67455
57,58,5,26,0.62208
140,139,36,59,0.604
97,68,-29,-53,0.58837
120,135,-13,39,0.57212
132,78,-8,-23,0.56711
101,71,-12,-24,0.56185
88,44,-1,4,0.55657
135,38,39,-18,0.55545
19,74,11,48,0.53487
118,61,-14,-59,0.53194
109,71,42,-24,0.5282
138,112,31,28,0.5275
90,67,-34,-49,0.52665
117,78,-14,-23,0.51908
27,23,-44,-50,0.51632
29,135,-9,39,0.51404
121,61,-13,-59,0.51158
